Idopont,CPU_szazalek,RAM_GB,GPU_szazalek,VRAM_GB,GPU_Watt,GPU_Celsius
18:56:19,50.1,16.60,8,11.38,43.2,54
18:56:20,50.2,16.60,8,11.38,43.8,54
18:56:21,50.0,16.60,8,11.38,42.9,54
18:56:22,50.1,16.60,9,11.38,42.9,55
18:56:23,50.2,16.60,13,11.38,44.0,55
18:56:24,50.2,16.61,16,11.38,44.6,55
18:56:25,50.1,16.61,16,11.38,44.5,55
18:56:26,50.1,16.61,9,11.38,42.1,56
18:56:27,12.7,16.61,0,11.38,34.4,54
18:56:28,0.1,16.61,0,11.38,22.4,54
18:56:29,6.1,16.63,0,11.38,19.6,53
18:56:30,50.1,16.64,0,11.38,20.4,53
18:56:31,34.9,16.39,1,11.38,19.7,56
18:56:32,43.7,16.66,15,11.38,58.2,56
18:56:33,50.1,16.66,8,11.38,48.6,55
18:56:34,50.2,16.66,8,11.38,46.7,55
18:56:35,50.2,16.66,10,11.38,42.8,57
18:56:36,50.1,16.66,15,11.38,45.0,56
18:56:37,50.1,16.66,15,11.38,44.3,55
18:56:38,50.2,16.66,15,11.38,44.0,55
18:56:39,50.1,16.66,15,11.38,43.4,55
18:56:40,50.0,16.65,15,11.38,43.2,55
18:56:41,50.2,16.65,9,11.38,43.6,55
18:56:42,50.3,16.65,8,11.38,43.4,55
18:56:43,50.1,16.65,8,11.38,43.3,55
18:56:44,50.2,16.65,8,11.38,42.7,55
18:56:45,50.1,16.65,8,11.38,42.7,55
18:56:46,50.2,16.65,8,11.38,43.2,55
18:56:47,50.1,16.65,15,11.38,43.6,57
18:56:48,50.2,16.64,15,11.38,43.9,56
18:56:49,50.1,16.64,15,11.38,44.2,55
18:56:50,50.1,16.64,15,11.38,43.4,55
18:56:51,50.2,16.64,9,11.38,44.1,55
18:56:52,50.2,16.64,8,11.38,43.6,55
18:56:53,50.1,16.64,8,11.38,42.8,55
18:56:54,50.1,16.64,8,11.38,44.0,55
18:56:55,50.1,16.64,8,11.38,43.2,55
18:56:56,50.1,16.63,8,11.38,43.8,55
18:56:57,42.2,16.63,8,11.38,43.1,55
18:56:58,0.1,16.63,0,11.38,26.4,54
18:56:59,0.1,16.63,0,11.38,25.0,54
18:57:00,31.3,16.60,0,11.38,19.8,54
18:57:01,43.8,16.46,0,11.38,20.1,54
18:57:02,34.7,16.59,82,11.38,60.8,66
18:57:03,50.4,16.59,14,11.38,63.2,58
18:57:04,50.2,16.59,15,11.38,49.5,56
18:57:05,50.1,16.59,11,11.38,44.5,55
18:57:06,50.2,16.59,8,11.38,44.1,55
18:57:07,50.1,16.59,10,11.38,43.5,57
18:57:08,50.2,16.59,15,11.38,45.3,56
18:57:09,50.1,16.58,15,11.38,44.4,55
18:57:10,50.3,16.58,14,11.38,44.6,55
18:57:11,50.1,16.58,8,11.38,43.9,55
18:57:12,50.0,16.58,8,11.38,43.5,55
18:57:13,50.2,16.58,8,11.38,43.6,55
18:57:14,50.1,16.58,8,11.38,43.1,55
18:57:15,50.1,16.58,9,11.38,43.5,57
18:57:16,50.1,16.58,13,11.38,42.8,59
18:57:17,50.2,16.58,15,11.38,45.2,56
18:57:18,50.0,16.57,15,11.38,44.3,56
18:57:19,50.1,16.57,15,11.38,43.9,56
18:57:20,50.1,16.57,15,11.38,43.6,56
18:57:21,50.1,16.57,15,11.38,44.3,55
18:57:22,50.1,16.57,8,11.38,44.2,55
18:57:23,50.1,16.57,8,11.38,43.9,55
18:57:24,50.2,16.57,8,11.38,44.1,55
18:57:25,50.1,16.57,8,11.38,43.5,55
18:57:26,50.1,16.57,11,11.38,44.2,58
18:57:27,50.2,16.57,13,11.38,43.6,59
18:57:28,50.1,16.57,15,11.38,44.2,58
18:57:29,50.2,16.57,12,11.38,43.8,58
18:57:30,43.2,16.57,14,11.38,43.5,59
18:57:31,0.1,16.57,0,11.38,27.2,54
18:57:32,0.1,16.57,0,11.38,21.2,54
18:57:33,14.9,16.57,0,11.38,19.8,54
18:57:34,50.1,16.60,0,11.38,19.9,54
18:57:35,31.6,16.27,82,11.38,26.3,58
18:57:36,47.9,16.57,15,11.38,89.5,56
18:57:37,50.1,16.57,8,11.38,50.4,56
18:57:38,50.2,16.57,8,11.38,46.0,55
18:57:39,50.1,16.57,15,11.38,44.6,57
18:57:40,50.1,16.57,15,11.38,45.0,56
18:57:41,50.1,16.57,15,11.38,44.4,55
18:57:42,50.1,16.57,15,11.38,44.6,55
18:57:43,50.1,16.57,10,11.38,44.5,54
18:57:44,50.2,16.57,8,11.38,43.9,54
18:57:45,50.2,16.57,8,11.38,43.9,54
18:57:46,50.2,16.57,8,11.38,43.1,53
18:57:47,50.1,16.57,9,11.38,42.9,55
18:57:48,50.3,16.57,12,11.38,43.2,56
18:57:49,50.1,16.57,15,11.38,43.7,54
18:57:50,50.1,16.57,15,11.38,43.2,53
18:57:51,50.2,16.57,15,11.38,43.7,52
18:57:52,50.0,16.57,15,11.38,42.7,52
18:57:53,50.1,16.57,15,11.38,43.2,52
18:57:54,50.1,16.57,9,11.38,42.9,51
18:57:55,50.1,16.56,8,11.38,42.2,51
18:57:56,50.2,16.56,8,11.38,42.2,51
18:57:57,50.1,16.56,8,11.38,41.5,50
18:57:58,50.0,16.56,8,11.38,41.4,50
18:57:59,50.1,16.56,8,11.38,41.8,50
18:58:00,50.2,16.55,8,11.38,42.0,50
18:58:01,50.2,16.55,8,11.38,41.1,49
18:58:02,45.8,16.55,8,11.38,42.0,49
18:58:03,0.2,16.55,0,11.38,27.3,48
18:58:04,5.0,16.61,0,11.38,23.0,48
18:58:05,49.1,16.57,0,11.38,17.3,48
18:58:06,37.5,16.05,0,11.38,17.4,47
18:58:07,41.8,16.48,96,11.38,52.3,51
18:58:08,50.2,16.48,8,11.38,59.5,48
18:58:09,50.2,16.48,13,11.38,45.0,51
18:58:10,50.2,16.48,15,11.38,41.6,48
18:58:11,50.1,16.47,15,11.38,40.5,48
18:58:12,50.2,16.47,13,11.38,41.2,47
18:58:13,50.1,16.47,8,11.38,40.5,47
18:58:14,50.2,16.47,8,11.38,40.3,47
18:58:15,50.1,16.47,8,11.38,40.0,47
18:58:16,50.1,16.47,8,11.38,40.6,47
18:58:17,50.2,16.47,9,11.38,39.8,49
